intro;img_url;name;page_url
"<b style=""color: Red; display: none"" id=""essactive"">[新人写作季作品]</b>&#13;
 　　混沌化阴阳，阴阳化五行，五行相生相克而衍化世间万物。这么说来，混沌应该就是最本源的东西，是这样么？&#13;";http://image.cmfu.com/books/2366499/2366499.jpg;"<h1>
 破碎虚空诀</h1>
 ";http://www.qidian.com/Book/2366499.aspx
"<b style=""color: Red; display: none"" id=""essactive"">[新人写作季作品]</b>&#13;
 　　高考成绩公布的当天，一封来历不明的录取通知书，没有任何介绍，黑色的通知书上只有两个血红色的大字‘无限’！";http://image.cmfu.com/books/1.jpg;"<h1>
 无限高校</h1>
 ";http://www.qidian.com/Book/2407181.aspx
"<b style=""color: Red; display: none"" id=""essactive"">[新人写作季作品]</b>&#13;
 　　祥子从城市回到农村，他一百个一万个不愿意，只是不得不向命运低头。一个接一个的生活打击，使得原本雄心勃勃的他走向自我折磨，，走向自我封闭，走向自我沉沦。爱情只是让他获暂时的安慰，却叫他更为痛苦和无奈。在万般失望之余，他果断地作出背井离乡的决定，开始他人生艰难的跋涉……&#13;
 &#13;
 ";http://image.cmfu.com/books/180233/180233.jpg;"<h1>
 跋涉风雨中</h1>
 ";http://www.qidian.com/Book/180233.aspx
"<b style=""color: Red; display: none"" id=""essactive"">[新人写作季作品]</b>&#13;
 　　曾经一不小心毁灭世界的神，随着他的剑转生到另外一个世界，在另一个世界，到底会创造出一个不同的故事呢？事情的最后到底什么才是真相.....神秘的未知，谱写的却是一曲优美的黑暗....&#13;
 &#13;
 ";http://image.cmfu.com/books/2404213/2404213.jpg;"<h1>
 黑暗终端</h1>
 ";http://www.qidian.com/Book/2404213.aspx
"<b style=""color: Red; display: none"" id=""essactive"">[新人写作季作品]</b>&#13;
 　　：尼玛！老子玩游戏来了个实名认证，一觉醒来就来到这么个鬼地方，给套紫色装备作为补偿也算了，你让老子裸奔在这阴森的森林中...";http://image.cmfu.com/books/2384360/2384360.jpg;"<h1>
 远程盗贼弑神录</h1>
 ";http://www.qidian.com/Book/2384360.aspx
intro;img_url;name;page_url
"<b style=""color: Red; display: none"" id=""essactive"">[新人写作季作品]</b>&#13;
 　　神无谓神时，这个世界也就失去了既定的法则。自诩为神之后裔的八种族，将大陆葬送为充斥无尽杀戮与死亡的血土。";http://image.cmfu.com/books/1737354/1737354.jpg;"<h1>
 第六天君</h1>
 ";http://www.qidian.com/Book/1737354.aspx
"<b style=""color: Red; display: none"" id=""essactive"">[新人写作季作品]</b>&#13;
 　　柏林，4岁的时候父母进入黑暗魔林就没了消息，由大伯带大。后来他一直憎恨的爷爷去世，大伯必须到丁国京城继任，无人再照顾他。他进入修行学校学习，成为一年级学生。后来通过自己的努力一步一步慢慢提升实力。最终会怎么样呢？在这期间又会经历怎样的故事？&#13;
 &#13;
 ";http://image.cmfu.com/books/1.jpg;"<h1>
 圣兰大陆</h1>
 ";http://www.qidian.com/Book/2364244.aspx
"<b style=""color: Red; display: none"" id=""essactive"">[新人写作季作品]</b>&#13;
 　　为什么我就如此被动？人家穿越后可以连中三元，可以入阁拜相，而我却要靠美丽的未婚妻救命，甚至被迫从非主流的马贼干起？&#13;";http://image.cmfu.com/books/2262308/2262308.jpg;"<h1>
 明贼</h1>
 ";http://www.qidian.com/Book/2262308.aspx
"<b style=""color: Red; display: none"" id=""essactive"">[新人写作季作品]</b>&#13;
 　　人生就是这样，你永远不会知道下一刻会发生。&#13;";http://image.cmfu.com/books/1.jpg;"<h1>
 重生之上青天</h1>
 ";http://www.qidian.com/Book/2391357.aspx
"<b style=""color: Red; display: none"" id=""essactive"">[新人写作季作品]</b>&#13;
 　　满腹才华却家境贫穷的三流大学生归途中被雷劈中来到异世，天赋卓越，身负血海深仇。面对强大的敌人依旧活的潇洒，求学之路过的精彩十足。最终背起责任，踏上一条拯救之路......&#13;
 &#13;
 ";http://image.cmfu.com/books/1.jpg;"<h1>
 漫步异世</h1>
 ";http://www.qidian.com/Book/2396403.aspx
"<b style=""color: Red; display: none"" id=""essactive"">[新人写作季作品]</b>&#13;
 　　放荡不羁，能力出众的尖子特种兵，在一次任务中意外穿越！";http://image.cmfu.com/books/2375831/2375831.jpg;"<h1>
 九州群英传</h1>
 ";http://www.qidian.com/Book/2375831.aspx
"<b style=""color: Red; display: none"" id=""essactive"">[新人写作季作品]</b>&#13;
 　　他是本朝的将军，身上却有他身世的未解之谜。";http://image.cmfu.com/books/1.jpg;"<h1>
 天恩无双录</h1>
 ";http://www.qidian.com/Book/2348471.aspx
